x,y,elevation,label
318049.153,77949.45175,64.974426,land
318050.1533,77949.45175,64.988441,land
318051.1535,77949.45175,64.972717,land
318052.1538,77949.45175,64.982117,land
318053.154,77949.45175,64.882927,land
318054.1543,77949.45175,64.765419,land
318055.1546,77949.45175,64.762016,land
318056.1548,77949.45175,64.844635,land
318057.1551,77949.45175,64.906136,land
318058.1554,77949.45175,64.917351,land
318059.1556,77949.45175,64.868568,land
318060.1559,77949.45175,64.88903,land
318061.1562,77949.45175,64.896378,land
318062.1564,77949.45175,64.84713,land
318063.1567,77949.45175,64.805756,land
318064.1569,77949.45175,64.749886,land
318065.1572,77949.45175,64.678108,land
318066.1575,77949.45175,64.616676,land
318067.1577,77949.45175,64.756927,land
318068.158,77949.45175,64.874969,land
318069.1583,77949.45175,64.772911,land
318070.1585,77949.45175,64.67691,land
318071.1588,77949.45175,64.668602,land
318072.159,77949.45175,64.599792,land
318073.1593,77949.45175,64.518578,land
318074.1596,77949.45175,64.693153,land
318075.1598,77949.45175,64.828407,land
318076.1601,77949.45175,64.816055,land
318077.1604,77949.45175,64.841805,land
318078.1606,77949.45175,64.724823,land
318079.1609,77949.45175,64.624771,land
318080.1612,77949.45175,64.764664,land
318081.1614,77949.45175,64.822968,land
318082.1617,77949.45175,64.825844,land
318083.1619,77949.45175,64.848404,land
318084.1622,77949.45175,64.852127,land
318085.1625,77949.45175,64.859184,land
318086.1627,77949.45175,64.864342,land
318087.163,77949.45175,64.84922,land
318088.1633,77949.45175,64.764732,land
318089.1635,77949.45175,64.741051,land
318090.1638,77949.45175,64.627884,land
318091.164,77949.45175,64.647636,land
318092.1643,77949.45175,64.70079,land
318093.1646,77949.45175,64.772621,land
318094.1648,77949.45175,64.775055,land
318095.1651,77949.45175,64.773865,land
318096.1654,77949.45175,64.761803,land
318097.1656,77949.45175,64.825485,land
318098.1659,77949.45175,64.864067,land
318099.1662,77949.45175,64.821693,land
318100.1664,77949.45175,64.795326,land
318101.1667,77949.45175,64.779572,land
318102.1669,77949.45175,64.870682,land
318103.1672,77949.45175,64.879906,land
318104.1675,77949.45175,64.899086,land
318105.1677,77949.45175,64.855629,land
318106.168,77949.45175,64.763084,land
318107.1683,77949.45175,64.762497,land
318108.1685,77949.45175,64.803261,land
318109.1688,77949.45175,64.806908,land
318110.1691,77949.45175,64.818657,land
318111.1693,77949.45175,64.832985,land
318112.1696,77949.45175,64.853546,land
318113.1698,77949.45175,64.885857,land
318114.1701,77949.45175,64.813492,land
318115.1704,77949.45175,64.7677,land
318116.1706,77949.45175,64.768234,land
318117.1709,77949.45175,64.825394,land
318118.1712,77949.45175,64.871521,land
318119.1714,77949.45175,64.907677,land
318120.1717,77949.45175,64.926414,land
318121.1719,77949.45175,64.984879,land
318122.1722,77949.45175,64.86483,land
318123.1725,77949.45175,64.945137,land
318124.1727,77949.45175,65.003288,land
318125.173,77949.45175,64.945168,land
318126.1733,77949.45175,65.01091,land
318127.1735,77949.45175,65.099548,land
318128.1738,77949.45175,65.279808,land
318129.1741,77949.45175,65.460243,land
318130.1743,77949.45175,65.654022,land
318131.1746,77949.45175,65.863312,land
318132.1748,77949.45175,65.972633,land
318133.1751,77949.45175,65.938805,land
318134.1754,77949.45175,65.961479,land
318135.1756,77949.45175,65.970795,land
318136.1759,77949.45175,66.133408,land
318137.1762,77949.45175,66.227188,land
318138.1764,77949.45175,66.352776,land
318139.1767,77949.45175,66.411285,land
318140.1769,77949.45175,66.381432,land
318141.1772,77949.45175,66.400612,land
318142.1775,77949.45175,66.466324,land
318143.1777,77949.45175,66.597702,land
318144.178,77949.45175,66.687973,land
318145.1783,77949.45175,66.67318,land
